id,old_dfri,efri,old_cfri,old_totfri,dtum,etum,ctum,total_score_tum,dtram,etram,ctram,total_score_tram,old_total_score,rank_competition,num_fri,competition,year,gender,qualification,age,team,season,cfri,dfri,total_score_fri,clean_team,team_number,total_score,clean_team_with_number,comp_str,total_e_score,total_d_score
23,6.2,6.35,4.0,16.55,7.5,7.45,2.0,16.95,7.1,6.65,2.0,15.75,49.25,3,,SM,2019,Mixed,Qualification,Senior,GefleGF,VT,2.0,6.84,14.55,GefleGF,1,47.25,GefleGF1,19SMQualificationSeniorMixed,20.45,21.439999999999998
28,7.7,7.8,4.0,19.5,7.7,7.45,2.0,17.15,7.2,8.75,2.0,17.95,54.6,1,,SM,2018,Women,Final,Senior,ÖrebroGFKIF,VT,2.0,5.59,16.8,Örebro GF KIF ,1,51.90000000000001,Örebro GF KIF 1,18SMFinalSeniorWomen,24.0,20.49
29,8.75,7.8,4.0,20.55,7.4,7.75,2.0,17.15,6.5,8.2,1.9,16.6,54.3,2,,SM,2018,Women,Final,Senior,GTVikingarna,VT,2.0,5.34,17.75,GT Vikingarna,1,51.5,GT Vikingarna1,18SMFinalSeniorWomen,23.75,19.240000000000002
30,7.55,7.7,4.0,19.25,7.3,7.9,2.0,17.2,6.9,8.5,2.0,17.4,53.85,3,,SM,2018,Women,Final,Senior,GKMotus-Saltolag1,VT,2.0,5.23,16.56,GK Motus Salto ,1,51.16,GK Motus Salto 1,18SMFinalSeniorWomen,24.1,19.43
31,8.65,7.7,4.0,20.35,10.2,7.95,2.0,20.15,9.6,8.25,2.0,19.85,60.35,1,,SM,2018,Men,Final,Senior,Brommagymnasterna,VT,2.0,5.27,17.56,Brommagymnasterna,1,57.56,Brommagymnasterna1,18SMFinalSeniorMen,23.9,25.07
35,8.4,8.15,4.0,20.55,7.5,7.7,2.0,17.2,7.0,7.8,2.0,16.8,54.55,2,,SM,2018,Women,Qualification,Senior,GKMotus-Saltolag1,VT,2.0,6.95,17.79,GK Motus Salto ,1,51.78999999999999,GK Motus Salto 1,18SMQualificationSeniorWomen,23.65,21.45
37,7.2,7.8,4.0,19.0,7.5,7.7,2.0,17.2,7.2,8.25,2.0,17.45,53.65,4,,SM,2018,Women,Qualification,Senior,Brommagymnasterna,VT,2.0,8.91,16.35,Brommagymnasterna,1,51.0,Brommagymnasterna1,18SMQualificationSeniorWomen,23.75,23.61
38,7.55,7.35,4.0,18.9,7.3,7.8,2.0,17.1,6.8,7.0,2.0,15.8,51.8,5,,SM,2018,Women,Qualification,Senior,GFUppsalaflickorna,VT,2.0,8.55,16.21,GCF Uppsala ,1,49.11,GCF Uppsala 1,18SMQualificationSeniorWomen,22.15,22.650000000000002
39,6.25,8.05,4.0,18.3,6.3,7.25,2.0,15.55,6.0,6.75,2.0,14.75,48.6,6,,SM,2018,Women,Qualification,Senior,GKMotus-Saltolag2,VT,2.0,6.55,15.73,GK Motus Salto ,2,46.03,GK Motus Salto 2,18SMQualificationSeniorWomen,22.05,18.85
40,7.5,5.6,4.0,17.1,6.2,7.25,2.0,15.45,6.25,7.3,2.0,15.55,48.1,7,,SM,2018,Women,Qualification,Senior,StockholmTopGymnastics,VT,2.0,7.27,14.42,Stockholm Top Gymnastics,1,45.42,Stockholm Top Gymnastics1,18SMQualificationSeniorWomen,20.15,19.72
42,5.9,7.225,4.0,17.125,6.1,6.8,2.0,14.9,5.925,6.5,1.95,14.375,46.4,9,,SM,2018,Women,Qualification,Senior,TeamgymSöder(SOL-flickornasGF),VT,2.0,6.73,14.58,SOL GF,1,43.86,SOL GF1,18SMQualificationSeniorWomen,20.525,18.755000000000003
