id,old_dfri,efri,old_cfri,old_totfri,dtum,etum,ctum,total_score_tum,dtram,etram,ctram,total_score_tram,old_total_score,rank_competition,num_fri,competition,year,gender,qualification,age,team,season,cfri,dfri,total_score_fri,clean_team,team_number,total_score,clean_team_with_number,comp_str,dfri_norm,efri_norm,cfri_norm,total_score_fri_norm,dtum_norm,etum_norm,ctum_norm,total_score_tum_norm,dtram_norm,etram_norm,ctram_norm,total_score_tram_norm,total_score_norm,total_e_score,total_d_score
124,8.8,8.3,4.0,20.95,7.3,8.15,2.0,17.6,8.0,8.1,2.0,18.1,56.65,2,,NM,2015,Wom,F,S,ÖrebroGF–KIF,HT,2.0,5.27,17.63,Örebro GF KIF ,1,53.33000000000001,Örebro GF KIF 1,15NMFSWom,-3.2300000000000004,0.0,0.0,-1.1300000000000026,-0.6000000000000005,-0.4499999999999993,0.0,-0.4499999999999993,0.0,0.0,0.0,0.0,-0.8299999999999841,24.549999999999997,20.57
129,9.066,7.85,4.0,20.816,6.2,7.75,2.0,16.05,5.2,7.15,1.8,14.15,51.016,7,,NM,2015,Wom,F,S,TampereenVoimistelijat,HT,2.0,7.56,17.41,TampereenVoimistelijat,1,47.61,TampereenVoimistelijat1,15NMFSWom,-0.9400000000000004,-0.450000000000001,0.0,-1.3500000000000014,-1.7000000000000002,-0.8499999999999996,0.0,-2.0,-2.8,-0.9499999999999992,-0.1999999999999999,-3.950000000000001,-6.549999999999997,22.75,18.96
132,8.066,7.15,4.0,19.916,5.7,7.85,2.0,14.85,4.9,6.35,2.0,13.25,48.016,10,,NM,2015,Wom,F,S,HelsingforsGK,HT,2.0,6.72,15.87,HelsingforsGK,1,43.97,HelsingforsGK1,15NMFSWom,-1.7800000000000002,-1.1500000000000004,0.0,-2.8900000000000023,-2.2,-0.75,0.0,-3.200000000000001,-3.1,-1.75,0.0,-4.850000000000001,-10.189999999999998,21.35,17.32
134,9.35,7.55,4.0,20.9,10.4,8.05,2.0,20.45,9.3,8.35,2.0,19.65,61.0,2,,NM,2019,Men,F,S,Bromma,HT,2.0,9.35,18.9,Brommagymnasterna,1,58.99999999999999,Brommagymnasterna1,19NMFSMen,0.0,-0.2000000000000001,0.0,0.0,-1.25,0.0,0.0,-0.25,-1.6499999999999986,0.0,0.0,-1.3000000000000007,-0.5200000000000102,23.95,29.049999999999997
137,9.05,7.1,4.0,20.15,10.1,7.55,2.0,19.65,9.2,7.85,2.0,19.05,58.85,5,,NM,2019,Men,F,S,KFUM,HT,2.0,9.05,18.15,KFUM,1,56.84999999999999,KFUM1,19NMFSMen,-0.2999999999999989,-0.6500000000000004,0.0,-0.75,-1.5500000000000007,-0.5000000000000009,0.0,-1.0500000000000007,-1.75,-0.5,0.0,-1.8999999999999984,-2.670000000000016,22.5,28.35
141,8.05,7.5,4.0,19.55,7.5,6.6,2.0,16.1,7.1,6.35,1.8,15.25,50.9,2,,SC,2019,Men,F,S,GKMotus-Salto,HT,2.0,8.05,17.55,GK Motus Salto ,1,48.90000000000001,GK Motus Salto 1,19SCFSMen,-1.049999999999999,0.0,0.0,-0.3000000000000007,-2.4000000000000004,-0.5500000000000007,0.0,-2.4499999999999997,-1.9000000000000004,-0.4500000000000002,-0.1999999999999999,-2.3500000000000014,-5.099999999999994,20.45,22.65
143,9.1,7.55,4.0,20.65,6.9,6.95,2.0,15.85,7.0,7.9,1.8,16.7,53.2,1,,SC,2019,Wom,F,S,Brommagymnasterna,HT,2.0,9.1,18.65,Brommagymnasterna,1,51.2,Brommagymnasterna1,19SCFSWom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1999999999999999,0.0,0.0,22.4,23.0
144,8.65,6.35,4.0,19.0,6.3,6.55,2.0,14.85,6.0,7.2,2.0,15.2,49.05,2,,SC,2019,Wom,F,S,TeamgymHögaholm(HöganäsGF/Engelholmsgymnasterna),HT,2.0,8.65,17.0,GK Engelholmsgymnasterna ,1,47.05,GK Engelholmsgymnasterna 1,19SCFSWom,-0.4499999999999993,-1.2000000000000002,0.0,-1.6499999999999986,-0.6000000000000005,-0.4000000000000003,0.0,-1.0,-1.0,-0.7000000000000002,0.0,-1.5,-4.150000000000006,20.1,20.95
149,8.4,6.8,4.0,19.2,6.7,7.5,2.0,16.2,6.4,7.05,2.0,15.45,50.85,2,,SC,2018,Wom,F,S,GTVikingarna,HT,2.0,7.64,16.44,GT Vikingarna,1,48.09,GT Vikingarna1,18SCFSWom,0.0,-0.6500000000000004,0.0,0.0,-0.3999999999999994,-0.2999999999999998,0.0,-0.4000000000000021,-0.7999999999999998,-0.75,0.0,-0.9499999999999992,-0.8874999999999957,21.35,20.74
163,6.55,7.45,4.0,18.0,6.8,6.95,2.0,15.75,6.6,7.8,2.0,16.4,50.15,1,,SC,2018,Wom,F,S,Brommagymnasterna,HT,2.0,5.95,15.4,Brommagymnasterna,1,47.55,Brommagymnasterna1,18SCFSWom,-1.6899999999999995,0.0,0.0,-1.040000000000001,-0.2999999999999998,-0.8499999999999996,0.0,-0.8500000000000014,-0.6000000000000005,0.0,0.0,0.0,-1.427500000000002,22.2,19.35
164,6.65,6.85,4.0,17.5,6.2,6.55,2.0,14.75,6.0,7.05,2.0,15.05,47.3,2,,SC,2018,Wom,F,S,GTVikingarnalag2,HT,2.0,6.05,14.9,GT Vikingarna,2,44.7,GT Vikingarna2,18SCFSWom,-1.59,-0.6000000000000005,0.0,-1.540000000000001,-0.8999999999999995,-1.25,0.0,-1.8500000000000012,-1.2000000000000002,-0.75,0.0,-1.349999999999998,-4.277499999999996,20.45,18.25
183,9.8,7.85,4.0,21.65,6.6,7.95,2.0,16.55,6.3,7.55,1.9,15.75,53.95,2,,SC,2015,Wom,F,S,GKMotus-Salto,HT,2.0,8.17,18.02,GK Motus Salto ,1,50.32,GK Motus Salto 1,15SCFSWom,-0.5800000000000001,-0.0500000000000007,0.0,-0.2800000000000011,-0.7000000000000002,0.0,0.0,-0.25,-0.9000000000000004,-0.7999999999999998,-0.1,-1.5,-2.030000000000001,23.349999999999998,21.07
